,class_name
0,-
1,707-320
2,727-200
3,737-200
4,737-300
5,737-400
6,737-500
7,737-600
8,737-700
9,737-800
10,737-900
11,747-100
12,747-200
13,747-300
14,747-400
15,757-200
16,757-300
17,767-200
18,767-300
19,767-400
20,777-200
21,777-300
22,A300B4
23,A310
24,A318
25,A319
26,A320
27,A321
28,A330-200
29,A330-300
30,A340-200
31,A340-300
32,A340-500
33,A340-600
34,A380
35,ATR-42
36,ATR-72
37,An-12
38,BAE 146-200
39,BAE 146-300
40,BAE-125
41,Beechcraft 1900
42,Boeing 717
43,C-130
44,C-47
45,CRJ-200
46,CRJ-700
47,CRJ-900
48,Cessna 172
49,Cessna 208
50,Cessna 525
51,Cessna 560
52,Challenger 600
53,DC-10
54,DC-3
55,DC-6
56,DC-8
57,DC-9-30
58,DH-82
59,DHC-1
60,DHC-6
61,DHC-8-100
62,DHC-8-300
63,DR-400
64,Dornier 328
65,E-170
66,E-190
67,E-195
68,EMB-120
69,ERJ 135
70,ERJ 145
71,Embraer Legacy 600
72,Eurofighter Typhoon
73,F-16A/B
74,F/A-18
75,Falcon 2000
76,Falcon 900
77,Fokker 100
78,Fokker 50
79,Fokker 70
80,Global Express
81,Gulfstream IV
82,Gulfstream V
83,Hawk T1
84,Il-76
85,L-1011
86,MD-11
87,MD-80
88,MD-87
89,MD-90
90,Metroliner
91,Model B200
92,PA-28
93,SR-20
94,Saab 2000
95,Saab 340
96,Spitfire
97,Tornado
98,Tu-134
99,Tu-154
100,Yak-42
