,class_name
0,-
1,Chihuahua
2,Japanese_spaniel
3,Maltese_dog
4,Pekinese
5,Shih-Tzu
6,Blenheim_spaniel
7,papillon
8,toy_terrier
9,Rhodesian_ridgeback
10,Afghan_hound
11,basset
12,beagle
13,bloodhound
14,bluetick
15,black-and-tan_coonhound
16,Walker_hound
17,English_foxhound
18,redbone
19,borzoi
20,Irish_wolfhound
21,Italian_greyhound
22,whippet
23,Ibizan_hound
24,Norwegian_elkhound
25,otterhound
26,Saluki
27,Scottish_deerhound
28,Weimaraner
29,Staffordshire_bullterrier
30,American_Staffordshire_terrier
31,Bedlington_terrier
32,Border_terrier
33,Kerry_blue_terrier
34,Irish_terrier
35,Norfolk_terrier
36,Norwich_terrier
37,Yorkshire_terrier
38,wire-haired_fox_terrier
39,Lakeland_terrier
40,Sealyham_terrier
41,Airedale
42,cairn
43,Australian_terrier
44,Dandie_Dinmont
45,Boston_bull
46,miniature_schnauzer
47,giant_schnauzer
48,standard_schnauzer
49,Scotch_terrier
50,Tibetan_terrier
51,silky_terrier
52,soft-coated_wheaten_terrier
53,West_Highland_white_terrier
54,Lhasa
55,flat-coated_retriever
56,curly-coated_retriever
57,golden_retriever
58,Labrador_retriever
59,Chesapeake_Bay_retriever
60,German_short-haired_pointer
61,vizsla
62,English_setter
63,Irish_setter
64,Gordon_setter
65,Brittany_spaniel
66,clumber
67,English_springer
68,Welsh_springer_spaniel
69,cocker_spaniel
70,Sussex_spaniel
71,Irish_water_spaniel
72,kuvasz
73,schipperke
74,groenendael
75,malinois
76,briard
77,kelpie
78,komondor
79,Old_English_sheepdog
80,Shetland_sheepdog
81,collie
82,Border_collie
83,Bouvier_des_Flandres
84,Rottweiler
85,German_shepherd
86,Doberman
87,miniature_pinscher
88,Greater_Swiss_Mountain_dog
89,Bernese_mountain_dog
90,Appenzeller
91,EntleBucher
92,boxer
93,bull_mastiff
94,Tibetan_mastiff
95,French_bulldog
96,Great_Dane
97,Saint_Bernard
98,Eskimo_dog
99,malamute
100,Siberian_husky
101,affenpinscher
102,basenji
103,pug
104,Leonberg
105,Newfoundland
106,Great_Pyrenees
107,Samoyed
108,Pomeranian
109,chow
110,keeshond
111,Brabancon_griffon
112,Pembroke
113,Cardigan
114,toy_poodle
115,miniature_poodle
116,standard_poodle
117,Mexican_hairless
118,dingo
119,dhole
120,African_hunting_dog
